,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm)
209,16-Nov-2020 - 00:00,17-Nov-2020 - 00:00,20.26,59.58,2.05,2.76,5.11,1.99,15.03,0.36,10.13,0,,,,44.03,1.16,188.93,254.62,,0
210,17-Nov-2020 - 00:00,18-Nov-2020 - 00:00,37.83,95.83,2.17,2.66,5.19,2.05,14.44,0.48,6.82,0,,,,75.63,0.85,207.78,120.17,,0
211,18-Nov-2020 - 00:00,19-Nov-2020 - 00:00,61.38,120.24,2.17,2.86,5.05,8.54,14.74,0.7,10.64,0,,,,82.06,0.91,204.39,127.58,,0
212,19-Nov-2020 - 00:00,20-Nov-2020 - 00:00,50.09,92.51,11.97,3,4.91,16.84,14.36,0.52,12.53,0,,,,75.61,1.31,171.63,189.66,,0
213,20-Nov-2020 - 00:00,21-Nov-2020 - 00:00,34.1,62.92,11.53,2.6,5.07,12.03,14.44,0.42,10.73,0,,,,70.34,1.36,160.7,80.69,,0
214,21-Nov-2020 - 00:00,22-Nov-2020 - 00:00,69.59,128.15,2.11,2.66,5.08,4.88,14.4,0.54,9.99,0,,,,73.22,1,160.98,168.57,,0
215,22-Nov-2020 - 00:00,23-Nov-2020 - 00:00,67.96,98.83,2.2,2.57,5.12,2.02,14.59,0.52,8.15,0,,,,92.63,1.13,168.58,72.8,,0.05
216,23-Nov-2020 - 00:00,24-Nov-2020 - 00:00,49.12,101.45,2.16,2.83,5.03,5.52,14.75,0.5,9.76,0,,,,78.59,1.11,169.68,232.16,,0
217,24-Nov-2020 - 00:00,25-Nov-2020 - 00:00,28.55,89,8.12,2.64,4.98,13.44,14.77,0.38,9.5,0,,,,56.59,1.22,172.86,233.83,,0
218,25-Nov-2020 - 00:00,26-Nov-2020 - 00:00,27.92,83.58,2.11,2.71,5.15,2,14.65,0.4,7.99,0,,,,42.14,1.12,157.61,251.67,,0
219,26-Nov-2020 - 00:00,27-Nov-2020 - 00:00,26.42,80.12,2.13,2.67,5.12,2.05,14.96,0.46,7.88,0,,,,40.21,1.35,158.07,240,,0
220,27-Nov-2020 - 00:00,28-Nov-2020 - 00:00,36.79,129.83,2.19,2.61,5.15,1.99,15.17,0.47,8.64,0,,,,38.76,1.01,188.29,250.7,,0
221,28-Nov-2020 - 00:00,29-Nov-2020 - 00:00,35.52,110.86,2.15,2.72,5.19,2.05,15.3,0.43,7.27,0,,,,48.72,1.19,189.98,168.65,,0
222,29-Nov-2020 - 00:00,30-Nov-2020 - 00:00,24.12,55.46,2.16,2.72,5.21,2.03,15.03,0.36,8.01,0,,,,52.22,1.31,162.33,252.87,,0
223,30-Nov-2020 - 00:00,01-Dec-2020 - 00:00,23.33,63,2.14,2.66,5.14,2.02,15.26,0.41,8.43,0,,,,50.32,1.06,174.44,228.85,,0
224,01-Dec-2020 - 00:00,02-Dec-2020 - 00:00,29.04,80.17,2.22,2.61,5.19,2.03,15.67,0.52,7.05,0,,,,49.11,0.91,194.67,237.34,,0
225,02-Dec-2020 - 00:00,03-Dec-2020 - 00:00,24.67,72.94,2.15,2.7,5.19,2.03,15.43,0.36,9.45,0,,,,50.93,0.94,199.86,219.99,,0
226,03-Dec-2020 - 00:00,04-Dec-2020 - 00:00,37.11,90.52,2.09,2.7,5.12,2.02,15.27,0.6,10.15,0,,,,68.04,1.08,187.7,150.96,,0
227,04-Dec-2020 - 00:00,05-Dec-2020 - 00:00,30.92,83.41,2.16,2.71,5.21,2.01,15.05,0.49,6.95,0,,,,63.84,0.82,74.81,195.18,,0
228,05-Dec-2020 - 00:00,06-Dec-2020 - 00:00,38.29,94.88,2.15,2.67,5.16,2,15.45,0.49,7.16,0,,,,,,,187.97,,0
229,06-Dec-2020 - 00:00,07-Dec-2020 - 00:00,41.75,73.58,2.15,2.69,5.18,2.03,15.41,0.49,7.49,0,,,,,,,127.97,,0
230,07-Dec-2020 - 00:00,08-Dec-2020 - 00:00,45.37,91.07,4.68,2.6,5.04,9.97,15.52,0.57,9.59,0,,,,81.59,1.66,96.63,169.41,,0
231,08-Dec-2020 - 00:00,09-Dec-2020 - 00:00,50.92,104.33,2.1,2.76,5.18,2.05,15.71,0.59,9.23,0,,,,75.53,0.98,195.57,139.03,,0
232,09-Dec-2020 - 00:00,10-Dec-2020 - 00:00,47.19,94.2,8.27,2.84,13.27,7.28,15.71,0.6,10.54,0,,,,74.85,1.07,194.11,110.99,,0
233,10-Dec-2020 - 00:00,11-Dec-2020 - 00:00,48.22,92.3,2.14,2.73,5.21,2.03,15.51,0.52,8.18,0,,,,74.17,1.03,182.9,146.26,,0
234,11-Dec-2020 - 00:00,12-Dec-2020 - 00:00,59.21,109.88,2.15,2.73,5.21,2.06,15.57,0.62,7.41,0,,,,80.25,1.06,204.63,117.47,,0
235,12-Dec-2020 - 00:00,13-Dec-2020 - 00:00,50.5,101.39,2.12,2.68,5.15,2.02,15.74,0.56,7.03,0,,,,77.1,1.02,186.96,215.21,,0
236,13-Dec-2020 - 00:00,14-Dec-2020 - 00:00,43.54,70.08,2.14,2.73,5.2,2.03,15.78,0.5,7.37,0,,,,82.14,1.11,174.97,183.71,,0
237,14-Dec-2020 - 00:00,15-Dec-2020 - 00:00,37.36,87.52,2.13,2.73,5.19,2.06,15.81,0.56,9.17,0,,,,75.64,1.32,181.69,225.27,,0
238,15-Dec-2020 - 00:00,16-Dec-2020 - 00:00,46.38,84.17,2.14,2.71,5.17,2.02,16.11,0.52,8.98,0,,,,78.91,1.03,196.82,233.8,,0
239,16-Dec-2020 - 00:00,17-Dec-2020 - 00:00,55.42,100.88,2.15,2.68,5.17,2,16.09,0.62,7.86,0,,,,81.05,1.19,190.2,195.36,,0
240,17-Dec-2020 - 00:00,18-Dec-2020 - 00:00,52.42,100.79,2.15,2.69,5.18,2.01,16.03,0.57,8.21,0,,,,79.02,1.22,189.21,199.01,,0
241,18-Dec-2020 - 00:00,19-Dec-2020 - 00:00,62.12,108.25,2.15,2.73,5.21,1.99,15.79,0.57,11.28,0,,,,78.94,1.14,185.85,212.15,,0
242,19-Dec-2020 - 00:00,20-Dec-2020 - 00:00,56,90.17,2.19,2.68,5.21,2.03,15.78,0.53,7.8,0,,,,77.2,1.36,154.08,202.61,,0
243,20-Dec-2020 - 00:00,21-Dec-2020 - 00:00,23.58,53.71,2.2,2.67,5.22,2,15.8,0.42,7.93,0,,,,45.3,1.22,150.81,244.5,,0
244,21-Dec-2020 - 00:00,22-Dec-2020 - 00:00,,70.54,2.18,2.7,5.21,1.99,16.04,0.52,7.22,0,,,,42.09,0.95,204.45,226.58,,0
245,22-Dec-2020 - 00:00,23-Dec-2020 - 00:00,,77.12,2.17,2.68,5.18,2.01,16.33,0.47,7.03,0,,,,47.24,0.97,202.34,219.81,,0
246,23-Dec-2020 - 00:00,24-Dec-2020 - 00:00,,66.29,2.15,2.69,5.18,2.06,16.08,0.43,8.05,0,,,,56.07,1.21,186.97,219.49,,0
247,24-Dec-2020 - 00:00,25-Dec-2020 - 00:00,,75.29,2.14,2.75,5.23,2.01,16.08,0.45,7.85,0,,,,65.9,1.07,199.66,225.47,,0
248,25-Dec-2020 - 00:00,26-Dec-2020 - 00:00,,53.62,2.15,2.68,5.16,2.02,16.14,0.42,8.61,0,,,,68.89,1.24,206.84,223.99,,0
249,26-Dec-2020 - 00:00,27-Dec-2020 - 00:00,,57,2.21,2.68,5.24,1.99,16.21,0.39,8.27,0,,,,71.83,1.07,181.98,221.05,,0
250,27-Dec-2020 - 00:00,28-Dec-2020 - 00:00,,56.75,2.16,2.7,5.18,2.03,16.22,0.43,8.15,0,,,,65.75,1.02,174.57,231.86,,0
251,28-Dec-2020 - 00:00,29-Dec-2020 - 00:00,,69.17,2.17,2.73,5.22,2.01,16.19,0.42,7.84,0,,,,60.95,1.15,164.64,228.72,,0
252,29-Dec-2020 - 00:00,30-Dec-2020 - 00:00,49.17,65.62,2.18,2.71,5.23,2,16.23,0.45,10.17,0,,,,53.22,1.09,108.92,233.41,,0
253,30-Dec-2020 - 00:00,31-Dec-2020 - 00:00,30.71,64.47,2.2,2.61,5.18,2.01,16.8,0.44,14.42,0.73,,0.17,0.7,34.46,0.89,4.28,236.75,,0
254,31-Dec-2020 - 00:00,01-Jan-2021 - 00:00,33.67,62.65,2.14,2.68,5.17,2.03,16.84,0.46,10,1.19,,0.37,0.94,,,,,,0
255,01-Jan-2021 - 00:00,02-Jan-2021 - 00:00,22.04,37.72,2.14,2.71,5.18,2.03,16.56,0.35,10.02,0.86,,0.24,0.68,,,,,,0
256,02-Jan-2021 - 00:00,03-Jan-2021 - 00:00,21.5,44.03,2.15,2.7,5.19,2.02,16.57,0.34,9.7,0.72,,0.22,0.66,,,,,,0
257,03-Jan-2021 - 00:00,04-Jan-2021 - 00:00,24.88,43.54,2.13,2.7,5.17,2.03,16.58,0.34,10,0.71,,0.18,0.53,,,,,,0
258,04-Jan-2021 - 00:00,05-Jan-2021 - 00:00,30.42,62.61,2.15,2.71,5.19,2.02,16.93,0.45,8.88,1.04,,0.24,0.75,,,,,,0
259,05-Jan-2021 - 00:00,06-Jan-2021 - 00:00,33.22,67.93,2.14,2.69,5.17,2.06,17.08,0.44,9.59,1.03,,0.27,0.81,,,,,,0
260,06-Jan-2021 - 00:00,07-Jan-2021 - 00:00,32.24,69.09,2.12,2.69,5.14,2,16.92,0.41,10.55,0.93,,0.25,0.74,,,,,,0
261,07-Jan-2021 - 00:00,08-Jan-2021 - 00:00,43.42,85.75,2.11,2.76,5.19,2.02,17.46,0.51,13.05,1.26,,0.29,0.9,67.08,1.24,100.31,217.29,,0
262,08-Jan-2021 - 00:00,09-Jan-2021 - 00:00,49.44,91.83,2.12,2.72,5.16,2.03,17.16,0.51,10.91,1.32,,0.33,0.94,73.95,1.28,162.13,167.93,,0
263,09-Jan-2021 - 00:00,10-Jan-2021 - 00:00,54.46,103.18,2.14,2.71,5.19,2.01,16.93,0.45,10.4,1.09,,0.27,0.73,69.42,1.26,191.8,201.29,,0
264,10-Jan-2021 - 00:00,11-Jan-2021 - 00:00,65.7,106.72,2.13,2.69,5.15,2.02,17.06,0.5,11.07,1.26,,0.21,0.62,63.6,0.94,196.49,195.69,,0
265,11-Jan-2021 - 00:00,12-Jan-2021 - 00:00,108.99,199.38,2.12,2.74,5.19,2.01,17.4,0.65,12.86,1.79,,0.3,0.84,78.29,1.04,169.6,147.14,,0
266,12-Jan-2021 - 00:00,13-Jan-2021 - 00:00,88.85,222.34,2.14,2.71,5.18,2.03,17.47,0.63,8.54,1.57,,0.31,0.94,77.52,1,215.74,129.8,,0
267,13-Jan-2021 - 00:00,14-Jan-2021 - 00:00,68.12,194.49,6.55,2.65,8.79,3.95,16.83,0.56,7.67,1.21,,0.25,0.76,70.95,1.01,187.72,180.27,,0
268,14-Jan-2021 - 00:00,15-Jan-2021 - 00:00,71.61,157.9,2.15,2.69,5.17,2.04,17.11,0.58,8.51,1.32,,0.26,0.82,73.54,0.91,191.61,154.12,,0
269,15-Jan-2021 - 00:00,16-Jan-2021 - 00:00,73.22,161.01,2.15,2.69,5.18,2.02,17.28,0.62,10.61,1.4,,0.26,0.82,72.73,1.05,198.17,164.31,,0
270,16-Jan-2021 - 00:00,17-Jan-2021 - 00:00,81.96,148.16,2.17,2.65,5.15,2.02,17.24,0.64,9.77,1.53,,0.27,0.82,81.02,1.06,179.41,91.96,,0
271,17-Jan-2021 - 00:00,18-Jan-2021 - 00:00,52.22,95.76,2.16,2.66,5.15,2.02,17.14,0.49,9.29,1.1,,0.18,0.59,69.24,1.47,162.98,166.31,,0
272,18-Jan-2021 - 00:00,19-Jan-2021 - 00:00,46.48,105.71,2.17,2.67,5.17,2.01,17.31,0.55,9.3,1.18,,0.25,0.81,66.89,1.39,165.14,133.6,,0
273,19-Jan-2021 - 00:00,20-Jan-2021 - 00:00,64.3,173.64,2.15,2.68,5.15,2.03,17.35,0.61,8.49,1.36,,0.26,0.82,77.77,1.02,220.01,99.73,,0
274,20-Jan-2021 - 00:00,21-Jan-2021 - 00:00,92.86,208.58,2.14,2.71,5.18,2.03,17.36,0.71,10.15,1.85,,0.28,0.85,75.44,1.07,171.27,164.82,,0
275,21-Jan-2021 - 00:00,22-Jan-2021 - 00:00,96.86,141.65,2.15,2.72,5.19,2.02,17.25,0.79,9.77,1.92,,0.29,0.86,88.62,1.14,171.07,79.9,,0.02
276,22-Jan-2021 - 00:00,23-Jan-2021 - 00:00,75.88,122.59,2.14,2.7,5.17,2.02,17.29,0.61,11.14,1.4,,0.22,0.69,74.41,1.37,166.59,212.25,,0
277,23-Jan-2021 - 00:00,24-Jan-2021 - 00:00,65.6,128.8,2.15,2.72,5.2,2.03,17.33,0.58,8.98,1.4,,0.28,0.79,62.74,1.03,219.46,135.76,,0
278,24-Jan-2021 - 00:00,25-Jan-2021 - 00:00,57.31,89.39,2.16,2.68,5.17,2.02,17.54,0.54,11.84,1.23,,0.2,0.66,72.48,1.31,211.23,174.29,,0
279,25-Jan-2021 - 00:00,26-Jan-2021 - 00:00,65.41,117.24,2.15,2.71,5.19,2.03,17.7,0.6,12.02,1.27,,0.22,0.74,76.41,1.22,178.05,211.59,,0
280,26-Jan-2021 - 00:00,27-Jan-2021 - 00:00,59.66,140.05,2.16,2.66,5.14,2.03,17.65,0.55,9.31,1.2,,0.23,0.7,69.89,1.17,195.56,230.78,,0
281,27-Jan-2021 - 00:00,28-Jan-2021 - 00:00,51.37,97.83,2.16,2.72,5.2,2.03,17.62,0.53,10.72,1.13,,0.23,0.73,71.18,1.5,168.46,227.62,,0
282,28-Jan-2021 - 00:00,29-Jan-2021 - 00:00,49.73,102.57,2.12,2.72,5.16,2,17.82,0.55,10.04,1.2,,0.28,0.94,70.19,1.37,177.71,232.37,,0
283,29-Jan-2021 - 00:00,30-Jan-2021 - 00:00,44.71,115.48,2.1,2.75,5.16,2.02,18.06,0.49,10.36,0.98,,0.23,0.76,56.99,1.18,180.49,238.37,,0
284,30-Jan-2021 - 00:00,31-Jan-2021 - 00:00,56.45,182.67,2.15,2.69,5.18,2.03,17.97,0.53,13.58,1.14,,0.27,0.9,56.78,1.22,193.31,194.36,,0
285,31-Jan-2021 - 00:00,01-Feb-2021 - 00:00,71.41,122.63,2.14,2.73,5.19,2.04,17.78,0.56,12.27,1.17,,0.21,0.64,76.94,1.23,190.8,130.38,,0
286,01-Feb-2021 - 00:00,02-Feb-2021 - 00:00,61.39,135.3,2.14,2.67,5.14,2.03,17.86,0.6,12.87,1.23,,0.25,0.88,65.06,1.13,194.61,207.13,,0
287,02-Feb-2021 - 00:00,03-Feb-2021 - 00:00,61.18,128.46,2.15,2.7,5.17,2.02,17.98,0.57,12.43,1.22,,0.24,0.81,66.2,1.28,198.92,213.9,,0
288,03-Feb-2021 - 00:00,04-Feb-2021 - 00:00,50.75,101.74,2.1,2.7,4.96,1.99,17.91,0.57,12.67,1.12,,0.24,0.79,63.39,0.99,194.96,145.53,,0
289,04-Feb-2021 - 00:00,05-Feb-2021 - 00:00,42.39,91.46,2.11,2.74,5.17,2.02,18.05,0.5,11.83,0.98,,0.2,0.72,58.97,1.27,187.51,242.18,,0
290,05-Feb-2021 - 00:00,06-Feb-2021 - 00:00,43.71,115.44,2.11,2.76,5.18,2.02,18.5,0.49,13.34,0.95,,0.22,0.64,56.89,1.56,161.42,226.87,,0
291,06-Feb-2021 - 00:00,07-Feb-2021 - 00:00,47.7,112.04,2.12,2.68,5.13,2.01,18.68,0.53,11.85,0.97,,0.22,0.75,59.43,0.88,207.85,155.76,,0
292,07-Feb-2021 - 00:00,08-Feb-2021 - 00:00,42.28,91.52,2.11,2.74,5.16,2.04,18.47,0.47,11.4,0.86,,0.18,0.62,69.4,0.93,211.24,150.73,,0
293,08-Feb-2021 - 00:00,09-Feb-2021 - 00:00,49.56,40.95,2.14,2.65,5.15,2.02,18.13,0.54,11.64,1.09,,0.22,0.72,66.15,1.13,205.59,230.85,,0
294,09-Feb-2021 - 00:00,10-Feb-2021 - 00:00,41.31,125.51,4.4,2.62,5.13,3.55,18.69,0.47,14.62,0.81,,0.17,0.62,55.23,1.33,199.2,261.23,,0
295,10-Feb-2021 - 00:00,11-Feb-2021 - 00:00,40.2,96.13,2.14,2.76,5.17,2.04,18.77,0.43,16.86,0.76,,0.15,0.54,53.57,1.41,190.41,244.32,,0
296,11-Feb-2021 - 00:00,12-Feb-2021 - 00:00,55.17,177.39,2.11,2.71,5.14,2.04,18.74,0.54,14.13,0.94,,0.21,0.76,55.62,1.02,210.47,236.22,,0
297,12-Feb-2021 - 00:00,13-Feb-2021 - 00:00,58.35,128.27,2.13,2.69,5.14,2.02,18.94,0.53,18.48,1.1,,0.22,0.74,61.29,1.25,179.93,212.42,,0
298,13-Feb-2021 - 00:00,14-Feb-2021 - 00:00,62.78,137.17,2.13,2.69,5.14,2.03,18.97,0.56,15.98,1.14,,0.27,0.71,58.73,1.22,196.57,229.64,,0
299,14-Feb-2021 - 00:00,15-Feb-2021 - 00:00,51.32,112.24,2.11,2.72,5.14,2.02,18.95,0.48,15.23,0.87,,0.16,0.57,57.96,1.18,189.18,231.49,,0
300,15-Feb-2021 - 00:00,16-Feb-2021 - 00:00,57.93,143.76,2.11,2.73,5.16,2.03,19.09,0.56,17.29,1.04,,0.22,0.78,56.54,1.05,199.83,231.48,,0
301,16-Feb-2021 - 00:00,17-Feb-2021 - 00:00,79.39,161.18,2.12,2.71,5.15,2,19.03,0.59,17.83,1.15,,0.21,0.71,67.58,1.31,189.19,215.28,,0
302,17-Feb-2021 - 00:00,18-Feb-2021 - 00:00,69.92,144.37,2.1,2.74,5.15,2.03,19.01,0.51,21.12,1,,0.15,0.52,67.48,1.91,167.99,188.45,,0
303,18-Feb-2021 - 00:00,19-Feb-2021 - 00:00,52.15,119.56,2.1,2.72,5.12,2,19.11,0.49,20.81,0.88,,0.16,0.58,54.37,1.62,178.45,212.04,,0
304,19-Feb-2021 - 00:00,20-Feb-2021 - 00:00,54.56,191.07,2.13,2.69,5.14,2.01,19.36,0.54,14.47,0.86,,0.22,0.79,51.81,1.15,195.17,137.93,,0
305,20-Feb-2021 - 00:00,21-Feb-2021 - 00:00,66.8,234.27,2.09,2.72,5.12,2.02,19.59,0.61,12.17,1.16,,0.27,0.87,61.68,1.12,202.79,109.12,,0
306,21-Feb-2021 - 00:00,22-Feb-2021 - 00:00,47.56,125.92,2.11,2.71,5.14,2.02,19.37,0.47,15.71,0.81,,0.15,0.53,59.88,1.25,188.15,204.05,,0
307,22-Feb-2021 - 00:00,23-Feb-2021 - 00:00,56.19,156.95,2.08,2.72,5.11,2.04,19.51,0.55,15.65,0.9,,0.2,0.67,63.74,1.08,191.61,199.44,,0
308,23-Feb-2021 - 00:00,24-Feb-2021 - 00:00,53.86,135.94,2.09,2.74,5.14,2.03,19.43,0.51,15.95,0.83,,0.2,0.68,60.28,1.1,192.49,195.76,,0
309,24-Feb-2021 - 00:00,25-Feb-2021 - 00:00,62.77,162.99,2.1,2.72,5.13,2.03,19.36,0.57,19.03,0.94,,0.2,0.64,58.58,1.09,191.18,204.09,,0
310,25-Feb-2021 - 00:00,26-Feb-2021 - 00:00,106.42,194.68,2.11,2.72,5.15,2.02,19.68,0.75,19.79,1.27,,0.22,0.75,70.3,1.21,165.16,118.92,,0.03
311,26-Feb-2021 - 00:00,27-Feb-2021 - 00:00,101.28,189.35,2.11,2.7,5.13,2.03,19.97,0.71,13.97,2.49,,0.93,3.1,77.7,1.03,149.31,103.55,,0.03
312,27-Feb-2021 - 00:00,28-Feb-2021 - 00:00,67.81,153.4,2.11,2.68,5.11,2.03,19.7,0.55,13.48,0.88,,0.26,0.86,60.15,1.08,159.7,166.11,,0
313,28-Feb-2021 - 00:00,01-Mar-2021 - 00:00,40.9,113.63,2.45,2.7,5.51,2.2,19.58,0.32,16.86,0.41,,0.1,0.43,47.56,1.4,168.13,206.42,,0
314,01-Mar-2021 - 00:00,02-Mar-2021 - 00:00,27.67,145.39,2.13,2.7,5.15,2.02,19.88,0.41,23.15,0.44,,0.13,0.53,47.19,1.66,216.65,236.33,,0
315,02-Mar-2021 - 00:00,03-Mar-2021 - 00:00,,130.42,2.09,2.72,5.1,2.02,19.94,0.43,16.34,0.46,,0.12,0.47,53.58,1.23,187.08,260.51,,0
316,03-Mar-2021 - 00:00,04-Mar-2021 - 00:00,,146.87,2.13,2.71,5.18,2.04,19.84,0.49,12.49,0.75,,0.22,0.58,59.24,1.19,177.86,136.14,,0.06
317,04-Mar-2021 - 00:00,05-Mar-2021 - 00:00,,140.36,2.12,2.72,5.17,2.01,19.81,0.48,15.56,0.63,,0.16,0.56,55.9,1.19,203.57,217.06,,0
318,05-Mar-2021 - 00:00,06-Mar-2021 - 00:00,67.76,158.22,2.13,2.68,5.14,2.02,20.27,0.47,20.9,0.69,,0.13,0.52,55.99,1.54,177.37,192,,0.05
319,06-Mar-2021 - 00:00,07-Mar-2021 - 00:00,66.65,125.23,3.43,2.7,6.81,2.83,20.03,0.47,17.42,0.46,,0.1,0.43,71.17,1.56,156.73,135.49,,0.24
320,07-Mar-2021 - 00:00,08-Mar-2021 - 00:00,34.34,71.78,2.1,2.72,5.14,2.01,19.8,0.39,12.61,0.34,,0.08,0.39,69.33,1.42,187.5,252.15,,0.03
321,08-Mar-2021 - 00:00,09-Mar-2021 - 00:00,54.04,130.73,2.1,2.69,5.1,2.04,20.19,0.56,12.09,0.42,,0.17,0.67,63.6,0.91,186.59,136.28,,0
322,09-Mar-2021 - 00:00,10-Mar-2021 - 00:00,65.48,136.53,2.09,2.71,5.1,2.02,20.22,0.57,12.99,0.53,,0.18,0.69,69.95,1.27,143.64,178.14,,0.12
323,10-Mar-2021 - 00:00,11-Mar-2021 - 00:00,46.33,102.97,12.83,2.7,5.07,9.41,20.05,0.44,13.03,0.26,,0.16,0.52,59.58,1.24,154.76,306,,0
324,11-Mar-2021 - 00:00,12-Mar-2021 - 00:00,47.23,104.52,2.21,2.67,5.22,2,20.15,0.45,11.72,0.22,,0.14,0.53,61.08,1.24,195.99,184.57,,0
325,12-Mar-2021 - 00:00,13-Mar-2021 - 00:00,47.12,126.2,2.2,2.64,5.18,2,20.26,0.47,12.32,0.2,,0.17,0.6,54.62,0.96,193.39,312.3,,0
326,13-Mar-2021 - 00:00,14-Mar-2021 - 00:00,49.94,116.5,2.22,2.65,5.22,2.01,20.55,0.45,14.78,0.07,,0.19,0.47,54.28,1.38,186.82,308.13,,0
327,14-Mar-2021 - 00:00,15-Mar-2021 - 00:00,,,,,,,,,,,,,,,,,,,
328,15-Mar-2021 - 00:00,16-Mar-2021 - 00:00,,,,,,,,,,,,,,,,,,,
329,16-Mar-2021 - 00:00,17-Mar-2021 - 00:00,,,,,,,,,,,,,,,,,,,
330,17-Mar-2021 - 00:00,18-Mar-2021 - 00:00,,,,,,,,,,,,,,,,,,,
331,18-Mar-2021 - 00:00,19-Mar-2021 - 00:00,89.93,190.78,9.54,2.74,14.9,7.66,20.79,0.74,19.41,1.9,,0.22,0.65,63.38,1.27,218.53,202.44,,0
332,19-Mar-2021 - 00:00,20-Mar-2021 - 00:00,94.15,164.87,6.17,2.62,10.29,4.35,20.53,0.68,14.31,0.81,,0.16,0.53,61.25,1.16,183.67,245.65,,0
333,20-Mar-2021 - 00:00,21-Mar-2021 - 00:00,110.5,209.71,3.95,2.56,5.07,8.64,20.58,0.8,16.82,0.81,,0.15,0.5,61.87,1.18,197.98,233.48,,0
334,21-Mar-2021 - 00:00,22-Mar-2021 - 00:00,78.77,181.6,3.51,2.65,5.15,2.87,20,0.56,14.39,0.32,,0.05,0.18,45.57,1.17,193.58,275.95,,0
335,22-Mar-2021 - 00:00,23-Mar-2021 - 00:00,77.81,208.55,2.19,2.55,5.09,6.35,20.1,0.66,15.3,0.44,,0.09,0.3,47.13,1.14,184.68,294.73,,0
336,23-Mar-2021 - 00:00,24-Mar-2021 - 00:00,105.94,214.28,6.87,2.63,6.9,5.02,20.51,0.79,34.57,0.48,,0.1,0.35,49.39,1.06,189.16,311.27,,0
337,24-Mar-2021 - 00:00,25-Mar-2021 - 00:00,93.8,216.73,3.7,2.69,7.19,2.84,20.29,0.73,14.61,0.38,,0.11,0.4,47.26,1.06,199.41,272.8,,0
338,25-Mar-2021 - 00:00,26-Mar-2021 - 00:00,58.51,154.58,4.41,2.62,5.18,3.13,20.22,0.49,16.57,0.29,,0.14,0.56,39.07,1.22,193.53,278.76,,0
339,26-Mar-2021 - 00:00,27-Mar-2021 - 00:00,73.39,177.85,14.6,2.67,10.49,10.47,20.45,0.61,26.08,0.13,,0.07,0.27,35.51,1.15,175.08,293.73,,0
340,27-Mar-2021 - 00:00,28-Mar-2021 - 00:00,117.95,227.37,9.46,2.73,7.05,6.71,20.12,0.9,13.34,0,,,,34.48,1.03,190,291.5,,0
341,28-Mar-2021 - 00:00,29-Mar-2021 - 00:00,145.47,231.32,8.23,2.75,5.15,6.14,20.13,0.96,18.16,0,,,,35.86,1.18,199.78,241.65,,0
342,29-Mar-2021 - 00:00,30-Mar-2021 - 00:00,126.18,235.92,3.69,2.64,5.21,2.94,20.37,0.9,20.61,0.06,,0.06,0.32,37.08,1.31,166.44,271.96,,0
343,30-Mar-2021 - 00:00,31-Mar-2021 - 00:00,114.04,175.06,8.95,2.57,5.11,8.65,20.33,0.81,20.79,0.14,,,0.04,82.72,1.85,143.69,86.48,,0.32
344,31-Mar-2021 - 00:00,01-Apr-2021 - 00:00,10.24,27.19,63.75,2.41,4.89,86.43,20.02,0.3,27.1,0,,,,75.83,2.25,153.04,372.36,,0.33
345,01-Apr-2021 - 00:00,02-Apr-2021 - 00:00,37.92,85.75,9.67,2.55,9.9,6.34,20.11,0.39,22.81,0,,,,75,1.48,157.34,145.67,,0.58
346,02-Apr-2021 - 00:00,03-Apr-2021 - 00:00,37.89,91.83,29.67,2.69,16.38,19.44,19.86,0.39,22.52,0,,,,54.99,1.58,151.97,250.54,,0
347,03-Apr-2021 - 00:00,04-Apr-2021 - 00:00,33.14,113.59,10.64,2.63,8.79,10.53,20.14,0.33,24.64,0,,,,40.63,1.28,163.82,351.59,,0
348,04-Apr-2021 - 00:00,05-Apr-2021 - 00:00,25.41,81.75,18.02,2.58,5.01,12.92,20.11,0.35,21.16,0,,,,27.45,1.15,194.78,355.51,,0
349,05-Apr-2021 - 00:00,06-Apr-2021 - 00:00,45.71,108,16.69,2.56,5.02,11.84,20.15,0.48,18.3,0,,,,53.37,1.25,159.07,146.54,,0
350,06-Apr-2021 - 00:00,07-Apr-2021 - 00:00,68.57,127.19,24.64,2.57,4.93,17.3,20.15,0.68,21.62,0,,,,46.49,1.2,180.2,204.22,,0
351,07-Apr-2021 - 00:00,08-Apr-2021 - 00:00,60.88,110.37,32.12,2.58,7.54,27.99,20.36,0.57,38.26,0,,,,41.91,1.09,198.96,310.63,,0
352,08-Apr-2021 - 00:00,09-Apr-2021 - 00:00,65.88,98.3,44.23,2.7,20.55,29.95,20.63,0.6,44.06,0,,,,60.25,1.41,176.89,191.03,,0
353,09-Apr-2021 - 00:00,10-Apr-2021 - 00:00,59.59,103.05,18.09,2.57,7.74,12.67,20.33,0.54,25.26,0,,,,63.23,1.17,179.5,214.6,,0
354,10-Apr-2021 - 00:00,11-Apr-2021 - 00:00,51.81,133.51,25.59,2.58,8.12,17.92,20.17,0.52,17.02,0,,,,58.65,1.01,157.34,262.98,,0
