,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),(W/mt2),Xylene (ug/m3)
21,12-May-2020 - 00:00,13-May-2020 - 00:00,28.34,33.93,11.51,0.45,15.73,29.97,8.9,0.42,0.26,0.12,1.02,0.37,0.7,,,,,,0.0
22,13-May-2020 - 00:00,14-May-2020 - 00:00,22.96,28.26,11.5,0.61,15.86,20.58,8.39,0.36,1.83,4.57,5.1,0.22,0.45,,,,,,0.0
23,14-May-2020 - 00:00,15-May-2020 - 00:00,21.1,25.13,11.46,0.64,15.86,24.1,9.1,0.33,8.81,4.47,4.89,0.13,0.29,,,,,,0.0
24,15-May-2020 - 00:00,16-May-2020 - 00:00,14.61,19.44,11.67,0.35,15.85,22.88,9.07,0.3,0.06,4.82,5.76,0.14,0.3,,,,,,0.0
25,16-May-2020 - 00:00,17-May-2020 - 00:00,8.45,12.77,11.58,0.3,15.65,22.67,9.19,0.27,,12.47,13.05,0.2,0.41,,,,,,0.0
26,17-May-2020 - 00:00,18-May-2020 - 00:00,12.61,18.2,11.49,0.12,15.26,25.98,9.88,0.23,0.04,,,,,,,,,,0.0
27,18-May-2020 - 00:00,19-May-2020 - 00:00,18.11,25.52,11.55,0.58,15.89,29.11,10.04,0.38,4.03,27.38,28.17,0.13,0.29,,,,,,0.0
28,19-May-2020 - 00:00,20-May-2020 - 00:00,18.04,23.88,11.58,0.5,15.89,24.32,9.8,0.35,1.23,6.4,7.04,0.2,0.28,,,,,,0.0
29,20-May-2020 - 00:00,21-May-2020 - 00:00,6.82,10.19,11.81,0.5,16.13,17.6,9.82,0.31,0.23,2.24,2.6,0.17,0.36,,,,,,0.0
30,21-May-2020 - 00:00,22-May-2020 - 00:00,9.2,15.16,11.41,0.35,15.53,13.08,10.11,0.21,2.84,0.02,0.21,0.07,0.21,,,,,,0.0
31,22-May-2020 - 00:00,23-May-2020 - 00:00,14.05,18.96,11.48,0.35,15.59,11.38,9.93,0.25,1.12,0.02,0.3,0.11,0.27,,,,,,0.0
32,23-May-2020 - 00:00,24-May-2020 - 00:00,16.69,22.32,11.48,0.28,15.52,16.26,10.91,0.25,0.37,38.23,38.38,0.02,0.04,,,,,,0.0
33,24-May-2020 - 00:00,25-May-2020 - 00:00,13.28,19.05,11.38,0.09,15.09,15.85,11.2,0.19,0.82,7.3,7.49,0.02,0.04,,,,,,0.0
34,25-May-2020 - 00:00,26-May-2020 - 00:00,9.53,14.71,11.49,0.3,15.5,14.21,11.16,0.19,1.44,10.25,10.36,0.05,0.13,,,,,,0.0
35,26-May-2020 - 00:00,27-May-2020 - 00:00,8.77,13.13,11.58,0.45,15.65,12.13,11.05,0.21,2.12,0.03,0.26,0.09,0.27,,,,,,0.0
36,27-May-2020 - 00:00,28-May-2020 - 00:00,1.46,4.1,15.69,0.62,20.75,16.75,11.12,0.21,4.89,1.76,1.94,0.05,0.21,,,,,,0.0
37,28-May-2020 - 00:00,29-May-2020 - 00:00,3.54,9.68,11.6,0.36,15.66,19.7,11.92,0.24,2.5,0.38,4.06,0.93,1.28,,,,,,0.0
38,29-May-2020 - 00:00,30-May-2020 - 00:00,3.53,7.78,11.59,0.5,15.72,12.55,11.22,0.24,2.75,3.12,3.61,0.17,0.59,,,,,,0.0
39,30-May-2020 - 00:00,31-May-2020 - 00:00,3.52,7.14,11.61,0.21,15.46,12.93,11.41,0.22,0.24,16.96,17.28,0.08,0.23,,,,,,0.0
40,31-May-2020 - 00:00,01-Jun-2020 - 00:00,3.77,7.72,11.54,0.08,15.13,12.87,11.57,0.18,0.1,,,,,,,,,,0.0
41,01-Jun-2020 - 00:00,02-Jun-2020 - 00:00,4.52,9.11,12.05,0.6,15.89,12.85,11.87,0.22,4.6,10.34,10.65,0.03,0.11,,,,,,0.0
42,02-Jun-2020 - 00:00,03-Jun-2020 - 00:00,3.87,8.45,11.74,0.22,15.69,13.34,12.13,0.24,,,,,,,,,,,0.0
43,03-Jun-2020 - 00:00,04-Jun-2020 - 00:00,2.41,6.35,11.67,0.31,15.66,14.4,12.25,0.24,2.76,48.54,48.67,,,,,,,,0.0
44,04-Jun-2020 - 00:00,05-Jun-2020 - 00:00,2.4,4.62,11.65,0.24,15.59,16.23,12.63,0.19,2.81,3.74,4.0,0.05,0.15,,,,,,0.0
45,05-Jun-2020 - 00:00,06-Jun-2020 - 00:00,2.76,7.17,16.11,0.78,20.84,25.28,13.17,0.25,3.3,18.66,19.01,0.03,0.1,,,,,,0.0
46,06-Jun-2020 - 00:00,07-Jun-2020 - 00:00,3.11,6.47,11.73,0.15,15.61,18.77,12.74,0.21,,,,,,,,,,,0.0
47,07-Jun-2020 - 00:00,08-Jun-2020 - 00:00,5.64,,11.58,0.09,15.24,19.22,12.18,0.19,,,,,,,,,,,0.0
48,08-Jun-2020 - 00:00,09-Jun-2020 - 00:00,14.58,21.57,11.8,0.8,16.34,22.6,13.04,0.42,0.87,10.13,10.84,0.14,0.4,,,,,,0.0
49,09-Jun-2020 - 00:00,10-Jun-2020 - 00:00,9.66,12.58,11.63,0.12,15.47,24.59,13.5,0.32,,2.77,3.25,0.21,0.5,,,,,,0.0
50,10-Jun-2020 - 00:00,11-Jun-2020 - 00:00,1.95,2.95,11.76,0.11,15.51,21.37,13.41,0.22,,,,,,,,,,,0.0
51,11-Jun-2020 - 00:00,12-Jun-2020 - 00:00,,6.11,11.78,0.33,15.76,20.41,13.55,0.21,2.25,1.48,1.78,0.07,0.19,,,,,,0.0
52,12-Jun-2020 - 00:00,13-Jun-2020 - 00:00,1.07,7.9,11.67,0.28,15.54,21.44,11.66,0.2,3.63,3.44,3.74,0.13,0.33,,,,,,0.0
53,13-Jun-2020 - 00:00,14-Jun-2020 - 00:00,1.4,5.9,11.65,0.07,15.29,21.98,8.16,0.17,4.36,,,,,,,,,,0.0
54,14-Jun-2020 - 00:00,15-Jun-2020 - 00:00,0.98,4.59,11.63,0.08,15.18,24.78,8.81,0.16,3.79,,,,,,,,,,0.0
55,15-Jun-2020 - 00:00,16-Jun-2020 - 00:00,1.4,4.98,11.66,0.07,15.29,24.31,8.56,0.17,4.2,,,,,,,,,,0.0
56,16-Jun-2020 - 00:00,17-Jun-2020 - 00:00,1.23,6.13,11.83,0.4,15.86,20.28,8.57,0.17,4.87,11.73,11.95,0.05,0.14,,,,,,0.0
57,17-Jun-2020 - 00:00,18-Jun-2020 - 00:00,1.88,1.95,13.0,0.35,15.57,19.41,5.36,0.16,4.7,22.29,22.36,0.04,0.13,,,,,,0.0
58,18-Jun-2020 - 00:00,19-Jun-2020 - 00:00,1.4,9.3,11.71,0.23,15.62,25.15,1.89,0.15,2.18,24.7,24.7,,0.01,,,,,,0.0
59,19-Jun-2020 - 00:00,20-Jun-2020 - 00:00,5.86,18.58,11.73,0.27,15.73,35.92,2.76,0.2,1.89,6.57,6.85,0.06,0.15,,,,,,0.0
60,20-Jun-2020 - 00:00,21-Jun-2020 - 00:00,2.3,12.36,11.74,0.08,15.46,34.26,2.39,0.21,,0.04,0.24,0.05,0.11,,,,,,0.0
61,21-Jun-2020 - 00:00,22-Jun-2020 - 00:00,2.5,9.31,11.55,0.06,15.16,29.87,2.31,0.15,0.52,,,,,,,,,,0.0
62,22-Jun-2020 - 00:00,23-Jun-2020 - 00:00,3.06,13.64,11.74,0.32,15.78,29.89,1.88,0.16,1.87,11.39,11.5,0.03,0.09,,,,,,0.0
63,23-Jun-2020 - 00:00,24-Jun-2020 - 00:00,3.39,14.58,11.62,0.39,15.69,25.3,0.94,0.06,2.58,12.27,12.34,0.03,0.09,,,,,,
64,24-Jun-2020 - 00:00,25-Jun-2020 - 00:00,8.76,31.94,11.55,0.14,15.38,25.7,1.1,0.07,1.87,9.11,9.2,0.04,0.1,,,,,,
65,25-Jun-2020 - 00:00,26-Jun-2020 - 00:00,7.62,28.3,11.59,0.16,15.53,23.2,1.01,0.05,1.72,,,,,,,,,,
66,26-Jun-2020 - 00:00,27-Jun-2020 - 00:00,1.63,6.82,11.8,0.17,15.69,22.75,1.27,0.04,1.07,,,,,,,,,,
67,27-Jun-2020 - 00:00,28-Jun-2020 - 00:00,0.17,3.26,11.69,0.08,15.41,22.19,1.07,0.02,1.29,,,,,,,,,,
68,28-Jun-2020 - 00:00,29-Jun-2020 - 00:00,0.26,1.5,11.56,0.05,15.13,25.75,1.42,0.02,1.4,,,,,,,,,,
69,29-Jun-2020 - 00:00,30-Jun-2020 - 00:00,0.33,9.99,12.04,0.14,15.97,28.5,2.01,0.12,0.97,,,,,,,,,,
70,30-Jun-2020 - 00:00,01-Jul-2020 - 00:00,2.76,9.5,11.91,0.1,15.75,28.53,2.25,0.1,1.24,,,,,,,,,,
71,01-Jul-2020 - 00:00,02-Jul-2020 - 00:00,0.43,11.64,12.1,0.35,16.23,23.12,2.3,0.11,1.12,0.0,0.0,,,,,,,,
72,02-Jul-2020 - 00:00,03-Jul-2020 - 00:00,1.62,9.37,12.56,0.32,16.77,26.96,2.58,0.11,0.67,9.47,9.37,0.02,0.05,,,,,,
73,03-Jul-2020 - 00:00,04-Jul-2020 - 00:00,3.13,11.46,12.63,0.11,16.6,24.36,2.35,0.17,0.42,97.21,97.17,,,,,,,,
74,04-Jul-2020 - 00:00,05-Jul-2020 - 00:00,1.94,5.51,12.05,0.1,15.87,25.06,2.53,0.11,0.64,2.01,2.09,0.04,0.09,,,,,,
75,05-Jul-2020 - 00:00,06-Jul-2020 - 00:00,,1.46,11.65,0.06,15.21,24.76,2.67,0.03,1.06,12.15,12.24,,0.02,,,,,,
76,06-Jul-2020 - 00:00,07-Jul-2020 - 00:00,,8.12,11.83,0.12,15.68,25.74,3.11,0.07,1.26,48.57,48.57,,,,,,,,
77,07-Jul-2020 - 00:00,08-Jul-2020 - 00:00,0.99,11.79,12.26,0.22,16.3,24.71,3.49,0.12,0.96,17.51,17.7,0.02,0.06,,,,,,
78,08-Jul-2020 - 00:00,09-Jul-2020 - 00:00,0.97,8.28,11.84,0.3,15.86,22.82,3.5,0.1,1.81,13.65,13.65,,,,,,,,
79,09-Jul-2020 - 00:00,10-Jul-2020 - 00:00,1.94,10.09,11.76,0.18,15.66,29.59,3.61,0.05,1.97,0.0,0.0,,,,,,,,
80,10-Jul-2020 - 00:00,11-Jul-2020 - 00:00,1.88,4.64,11.79,0.13,15.65,30.91,3.57,0.02,2.06,0.0,0.0,,,,,,,,
81,11-Jul-2020 - 00:00,12-Jul-2020 - 00:00,0.95,4.03,11.76,0.11,15.58,30.75,3.29,0.02,1.93,0.0,0.0,,,,,,,,
82,12-Jul-2020 - 00:00,13-Jul-2020 - 00:00,,3.48,11.68,0.07,15.35,34.3,3.49,0.01,1.57,0.0,0.0,,,,,,,,
83,13-Jul-2020 - 00:00,14-Jul-2020 - 00:00,0.97,8.12,12.2,0.15,16.15,33.15,4.01,0.1,1.17,0.0,0.0,,,,,,,,
84,14-Jul-2020 - 00:00,15-Jul-2020 - 00:00,,12.72,12.74,0.22,16.94,34.15,4.34,0.17,0.77,0.0,0.0,,,,,,,,
85,15-Jul-2020 - 00:00,16-Jul-2020 - 00:00,,11.58,12.56,0.31,16.81,32.67,4.88,0.13,0.92,0.0,0.0,,,,,,,,
86,16-Jul-2020 - 00:00,17-Jul-2020 - 00:00,2.0,13.72,20.83,0.65,27.26,30.37,4.74,0.1,1.38,0.0,0.0,,,,,,,,
87,17-Jul-2020 - 00:00,18-Jul-2020 - 00:00,0.97,11.3,12.73,0.36,17.2,37.61,5.19,0.08,43.66,0.0,0.0,,,,,,,,
88,18-Jul-2020 - 00:00,19-Jul-2020 - 00:00,1.61,8.95,11.94,0.12,15.76,25.49,4.32,0.0,,0.0,0.0,,,,,,,,
89,19-Jul-2020 - 00:00,20-Jul-2020 - 00:00,0.94,1.98,11.69,0.07,15.25,25.09,4.46,0.0,,0.0,0.0,,,,,,,,
90,20-Jul-2020 - 00:00,21-Jul-2020 - 00:00,,5.97,12.13,0.22,15.99,29.19,4.57,0.08,4.33,0.0,0.0,,,,,,,,
91,21-Jul-2020 - 00:00,22-Jul-2020 - 00:00,0.96,2.62,12.14,0.14,15.98,26.02,4.67,0.17,4.09,0.0,0.0,,,,,,,,
92,22-Jul-2020 - 00:00,23-Jul-2020 - 00:00,1.28,7.21,11.96,0.18,15.84,27.33,4.98,0.18,4.68,0.0,0.0,,,,,,,,
93,23-Jul-2020 - 00:00,24-Jul-2020 - 00:00,1.44,11.43,12.24,0.55,16.54,32.85,5.28,0.23,4.53,0.0,0.0,,,,,,,,
94,24-Jul-2020 - 00:00,25-Jul-2020 - 00:00,,13.5,12.35,0.21,16.37,37.36,5.84,0.21,4.0,0.0,0.0,,,,,,,,
95,25-Jul-2020 - 00:00,26-Jul-2020 - 00:00,0.76,14.98,12.71,0.17,16.84,33.45,5.92,0.26,3.74,0.0,0.0,,,,,,,,
96,26-Jul-2020 - 00:00,27-Jul-2020 - 00:00,2.1,8.05,11.86,0.07,15.49,31.8,5.94,0.21,4.04,0.0,0.0,,,,,,,,
97,27-Jul-2020 - 00:00,28-Jul-2020 - 00:00,4.46,17.53,12.18,0.62,16.57,40.53,6.33,0.25,4.84,0.0,0.0,,,,,,,,
98,28-Jul-2020 - 00:00,29-Jul-2020 - 00:00,5.34,14.4,12.0,1.34,17.05,29.27,6.33,0.34,4.9,0.0,0.0,,,76.43,1.28,175.11,24.61,,
99,29-Jul-2020 - 00:00,30-Jul-2020 - 00:00,0.71,10.84,12.78,0.18,16.96,37.35,6.41,0.21,3.86,0.0,0.0,,,93.53,1.49,185.8,87.35,,
100,30-Jul-2020 - 00:00,31-Jul-2020 - 00:00,,9.88,12.85,0.18,16.97,34.34,6.75,0.22,3.65,0.0,0.0,,,92.41,1.12,185.83,108.09,,
101,31-Jul-2020 - 00:00,01-Aug-2020 - 00:00,3.23,14.07,12.74,0.32,17.01,35.35,7.2,0.29,3.92,0.0,0.0,,,92.23,0.79,183.66,102.64,,
102,01-Aug-2020 - 00:00,02-Aug-2020 - 00:00,1.32,11.47,12.6,0.2,16.69,34.93,7.58,0.31,3.74,0.0,0.0,,,93.14,0.78,183.76,96.74,,
103,02-Aug-2020 - 00:00,03-Aug-2020 - 00:00,4.03,10.52,11.89,0.16,15.59,32.56,8.39,0.21,4.29,0.0,0.0,,,91.01,0.89,177.77,0.39,,
104,03-Aug-2020 - 00:00,04-Aug-2020 - 00:00,6.24,20.11,12.63,0.27,16.84,34.77,8.84,0.38,4.0,0.0,0.0,,,87.36,0.79,179.7,0.19,,
105,04-Aug-2020 - 00:00,05-Aug-2020 - 00:00,3.46,17.59,12.39,0.44,16.65,25.83,8.32,0.32,4.68,0.0,0.0,,,89.31,3.05,73.4,97.48,,
106,05-Aug-2020 - 00:00,06-Aug-2020 - 00:00,,12.28,12.08,0.38,16.22,26.26,8.7,0.24,5.16,0.0,0.0,,,80.8,3.04,84.2,,,
107,06-Aug-2020 - 00:00,07-Aug-2020 - 00:00,,12.0,12.4,0.31,16.51,27.03,8.91,0.26,4.29,0.0,0.0,,,88.39,1.56,126.19,,,
108,07-Aug-2020 - 00:00,08-Aug-2020 - 00:00,,10.19,12.73,1.57,17.96,124.3,8.59,0.22,4.55,0.0,0.0,,,90.64,1.32,184.94,,,
109,08-Aug-2020 - 00:00,09-Aug-2020 - 00:00,,9.71,12.33,0.4,16.64,242.35,7.57,0.21,3.87,0.0,0.0,,,91.75,1.46,184.49,,,
110,09-Aug-2020 - 00:00,10-Aug-2020 - 00:00,,5.14,12.1,0.19,16.03,133.11,7.91,0.14,3.88,0.0,0.0,,,82.88,1.19,176.51,,,
111,10-Aug-2020 - 00:00,11-Aug-2020 - 00:00,0.72,9.25,12.42,1.58,17.62,187.22,9.08,0.24,5.43,0.0,0.0,,,86.61,1.47,191.55,,,
112,11-Aug-2020 - 00:00,12-Aug-2020 - 00:00,,3.67,12.16,0.39,16.36,108.12,8.65,0.24,4.78,0.0,0.0,,,93.97,1.9,159.78,,,
113,12-Aug-2020 - 00:00,13-Aug-2020 - 00:00,,9.55,12.23,0.27,16.31,81.09,8.71,0.22,4.65,0.0,0.0,,,90.29,1.76,147.47,,,
114,13-Aug-2020 - 00:00,14-Aug-2020 - 00:00,3.13,14.04,12.52,0.41,16.73,63.11,9.33,0.3,4.03,0.0,0.0,,,85.69,1.1,167.88,,,
115,14-Aug-2020 - 00:00,15-Aug-2020 - 00:00,,8.3,12.48,0.25,16.57,54.64,9.32,0.26,4.47,0.0,0.0,,,86.61,1.38,141.56,,,
116,15-Aug-2020 - 00:00,16-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
117,16-Aug-2020 - 00:00,17-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
118,17-Aug-2020 - 00:00,18-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
119,18-Aug-2020 - 00:00,19-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
120,19-Aug-2020 - 00:00,20-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
121,20-Aug-2020 - 00:00,21-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
122,21-Aug-2020 - 00:00,22-Aug-2020 - 00:00,1.59,8.91,12.07,0.32,15.99,36.05,10.66,0.16,5.03,0.0,0.0,,,,,,,,
123,22-Aug-2020 - 00:00,23-Aug-2020 - 00:00,1.7,6.29,12.11,0.13,15.82,44.38,10.73,0.15,4.39,0.0,0.0,,,,,,,,
124,23-Aug-2020 - 00:00,24-Aug-2020 - 00:00,,5.8,12.14,0.12,15.89,50.78,11.39,0.15,4.22,0.0,0.0,,,,,,,,
125,24-Aug-2020 - 00:00,25-Aug-2020 - 00:00,,10.72,12.74,0.34,16.95,39.2,11.43,0.28,4.25,0.0,0.0,,,,,,,,
126,25-Aug-2020 - 00:00,26-Aug-2020 - 00:00,,8.09,12.63,0.24,16.76,44.49,12.15,0.22,4.67,0.0,0.0,,,,,,,,
127,26-Aug-2020 - 00:00,27-Aug-2020 - 00:00,1.0,11.39,12.52,0.16,16.51,43.62,11.85,0.22,4.39,0.0,0.0,,,,,,,,
128,27-Aug-2020 - 00:00,28-Aug-2020 - 00:00,2.21,14.59,12.18,0.15,15.99,46.89,11.9,0.17,4.51,0.0,0.0,,,,,,,,
129,28-Aug-2020 - 00:00,29-Aug-2020 - 00:00,4.75,20.5,12.18,0.14,16.04,42.35,11.97,0.19,4.63,0.0,0.0,,,,,,,,
130,29-Aug-2020 - 00:00,30-Aug-2020 - 00:00,5.88,19.09,11.97,0.1,15.63,43.97,12.17,0.13,4.74,0.0,0.0,,,,,,,,
131,30-Aug-2020 - 00:00,31-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
132,31-Aug-2020 - 00:00,01-Sep-2020 - 00:00,8.91,22.55,12.31,0.64,16.76,36.28,12.79,0.39,5.2,0.0,0.0,,,,,,,,
133,01-Sep-2020 - 00:00,02-Sep-2020 - 00:00,3.48,15.55,12.86,0.35,16.98,42.66,12.93,0.33,4.37,0.0,0.0,,,,,,,,
134,02-Sep-2020 - 00:00,03-Sep-2020 - 00:00,1.97,14.77,12.42,0.23,16.49,40.52,13.3,0.27,4.16,0.0,0.0,,,,,,,,
135,03-Sep-2020 - 00:00,04-Sep-2020 - 00:00,4.23,15.7,12.56,0.24,16.73,40.14,13.82,0.32,4.08,0.0,0.0,,,,,,,,
136,04-Sep-2020 - 00:00,05-Sep-2020 - 00:00,5.93,21.2,12.61,0.25,16.75,33.7,13.9,0.39,3.93,0.0,0.0,,,,,,,,
137,05-Sep-2020 - 00:00,06-Sep-2020 - 00:00,6.14,15.9,12.41,0.12,16.21,32.68,13.4,0.39,3.9,0.0,0.0,,,,,,,,
138,06-Sep-2020 - 00:00,07-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
139,07-Sep-2020 - 00:00,08-Sep-2020 - 00:00,1.28,12.57,12.66,0.68,17.15,26.06,14.59,0.27,4.5,0.0,0.0,,,,,,,,
140,08-Sep-2020 - 00:00,09-Sep-2020 - 00:00,3.59,13.8,12.46,0.39,16.65,30.33,14.65,0.28,4.58,0.0,0.0,,,,,,,,
141,09-Sep-2020 - 00:00,10-Sep-2020 - 00:00,6.04,15.89,12.47,0.23,16.59,33.95,14.71,0.32,4.33,0.0,0.0,,,,,,,,
142,10-Sep-2020 - 00:00,11-Sep-2020 - 00:00,2.5,5.25,12.07,0.23,16.05,33.84,14.66,0.24,4.62,0.0,0.0,,,,,,,,
143,11-Sep-2020 - 00:00,12-Sep-2020 - 00:00,1.0,3.39,12.13,0.13,15.84,35.54,14.97,0.15,4.31,0.0,0.0,,,,,,,,
144,12-Sep-2020 - 00:00,13-Sep-2020 - 00:00,,3.51,12.22,0.12,15.89,32.68,15.16,0.15,4.07,0.0,0.0,,,,,,,,
145,13-Sep-2020 - 00:00,14-Sep-2020 - 00:00,,2.14,12.33,0.11,16.04,34.06,15.39,0.14,3.96,0.0,0.0,,,,,,,,
146,14-Sep-2020 - 00:00,15-Sep-2020 - 00:00,,3.17,12.04,0.13,15.68,34.03,15.66,0.14,4.23,0.0,0.0,,,,,,,,
147,15-Sep-2020 - 00:00,16-Sep-2020 - 00:00,,3.28,11.99,0.14,15.69,32.64,15.87,0.14,4.45,0.0,0.0,,,,,,,,
148,16-Sep-2020 - 00:00,17-Sep-2020 - 00:00,,2.86,12.05,0.15,15.81,33.6,16.19,0.16,4.44,0.0,0.0,,,,,,,,
149,17-Sep-2020 - 00:00,18-Sep-2020 - 00:00,4.0,3.91,12.12,0.14,15.84,32.4,16.44,0.16,4.18,0.0,0.0,,,,,,,,
150,18-Sep-2020 - 00:00,19-Sep-2020 - 00:00,5.69,9.92,12.5,0.14,16.37,35.24,16.87,0.22,4.2,0.0,0.0,,,,,,,,
151,19-Sep-2020 - 00:00,20-Sep-2020 - 00:00,,9.54,12.09,0.13,15.9,31.19,17.74,0.21,4.65,0.0,0.0,,,,,,,,
152,20-Sep-2020 - 00:00,21-Sep-2020 - 00:00,1.4,4.93,11.78,0.1,15.51,23.04,17.56,0.18,5.4,0.0,0.0,,,,,,,,
153,21-Sep-2020 - 00:00,22-Sep-2020 - 00:00,2.29,12.22,12.76,0.22,16.94,24.75,17.34,0.29,4.54,0.0,0.0,,,,,,,,
154,22-Sep-2020 - 00:00,23-Sep-2020 - 00:00,,3.61,12.16,0.19,16.1,32.83,17.53,0.19,5.1,0.0,0.0,,,,,,,,
155,23-Sep-2020 - 00:00,24-Sep-2020 - 00:00,,4.41,12.12,0.19,16.0,33.93,17.43,0.15,4.96,0.0,0.0,,,,,,,,
156,24-Sep-2020 - 00:00,25-Sep-2020 - 00:00,,8.56,12.29,0.16,16.24,37.47,17.83,0.16,4.89,0.0,0.0,,,,,,,,
157,25-Sep-2020 - 00:00,26-Sep-2020 - 00:00,0.72,5.54,12.34,0.42,16.67,24.63,17.72,0.18,5.46,10.51,10.3,0.05,0.02,93.23,2.1,182.99,7.02,,
158,26-Sep-2020 - 00:00,27-Sep-2020 - 00:00,,12.68,12.14,0.14,16.05,31.43,18.16,0.16,5.12,0.11,0.15,0.05,,94.67,1.96,160.76,84.61,,
159,27-Sep-2020 - 00:00,28-Sep-2020 - 00:00,1.07,6.15,12.01,0.08,15.68,29.87,18.15,0.14,4.58,5.91,5.92,0.02,,87.41,1.61,153.64,139.24,,
